distance_km,duration_minutes,demand_index,traffic_level,weather_condition,day_of_week,hour_of_day,vehicle_type,ride_fare
3.26,9.6,1.01,9,Stormy,Thu,3,Auto,87.75
14.02,41.3,0.96,4,Clear,Tue,2,Auto,191.42
12.31,44.0,2.73,3,Clear,Thu,23,Bike,180.71
9.87,36.4,2.14,1,Clear,Thu,19,Car,274.6
13.2,48.3,0.88,4,Clear,Wed,10,Car,314.0
12.25,32.9,1.6,9,Clear,Sat,0,Auto,207.18
3.61,15.4,2.04,6,Clear,Wed,5,Auto,78.77
13.5,40.9,0.71,6,Rainy,Sun,10,Auto,204.76
8.55,23.6,2.71,1,Clear,Thu,0,Car,238.3
12.3,52.6,2.51,2,Clear,Tue,20,Auto,219.89
13.55,59.8,1.76,6,Stormy,Thu,6,Car,500.65
5.45,23.0,2.92,2,Rainy,Sat,5,Auto,142.62
2.54,10.5,1.54,3,Clear,Wed,13,Bike,45.06
4.19,16.0,2.96,4,Clear,Tue,1,Bike,85.08
6.98,25.1,2.17,5,Clear,Thu,3,Bike,114.99
12.45,33.3,2.09,9,Clear,Fri,10,Bike,168.44
13.05,43.3,0.91,4,Clear,Sat,14,Bike,146.74
1.1,3.6,2.7,9,Clear,Sat,17,Auto,69.02
8.15,24.6,1.57,3,Clear,Fri,0,Bike,125.22
6.84,27.0,0.91,8,Clear,Thu,2,Bike,106.78
4.11,14.4,0.53,1,Clear,Sat,2,Auto,65.16
2.68,7.1,1.9,9,Clear,Tue,6,Car,107.11
5.73,16.8,1.82,9,Clear,Thu,0,Auto,130.91
14.2,54.9,2.3,2,Clear,Thu,10,Car,376.34
5.52,14.6,2.73,4,Clear,Wed,5,Auto,105.64
8.26,34.7,0.7,8,Clear,Sat,19,Bike,126.97
10.84,37.8,2.33,7,Clear,Sat,2,Auto,182.84
6.09,21.1,0.97,1,Clear,Fri,18,Auto,117.06
14.6,53.8,2.65,5,Clear,Wed,1,Bike,207.51
14.47,60.0,2.55,7,Clear,Sun,17,Bike,226.63
4.52,14.4,1.85,4,Rainy,Wed,11,Auto,107.73
7.96,30.7,2.28,1,Rainy,Sat,9,Bike,120.18
5.21,18.9,1.29,9,Clear,Thu,4,Auto,119.05
4.99,15.1,1.68,5,Clear,Wed,8,Bike,82.57
1.52,6.5,2.55,2,Clear,Fri,1,Auto,65.83
9.53,39.0,1.65,8,Clear,Wed,1,Auto,189.63
8.04,30.7,1.39,2,Clear,Fri,5,Bike,100.21
1.72,7.2,1.74,3,Stormy,Sun,9,Bike,43.0
4.9,20.7,2.57,1,Clear,Wed,17,Auto,127.71
13.72,53.7,1.34,2,Clear,Fri,11,Car,351.09
4.35,18.2,0.93,7,Rainy,Wed,3,Car,140.21
3.03,11.8,2.28,2,Rainy,Sun,21,Bike,66.22
7.85,30.3,2.56,6,Rainy,Wed,20,Auto,169.79
14.8,55.3,0.75,3,Clear,Tue,16,Bike,161.06
4.39,17.6,1.1,4,Clear,Fri,14,Bike,68.5
10.41,29.3,0.85,8,Clear,Sun,5,Bike,135.14
11.66,49.7,1.37,3,Clear,Fri,15,Auto,220.99
4.33,18.4,1.63,6,Clear,Fri,16,Bike,65.79
11.2,28.7,2.37,1,Clear,Mon,2,Bike,121.21
6.15,25.5,2.13,7,Rainy,Sun,9,Auto,128.77
9.85,27.2,2.05,8,Clear,Wed,4,Auto,175.67
9.87,31.3,1.38,8,Clear,Fri,13,Bike,135.13
8.5,33.9,2.6,3,Clear,Sat,20,Bike,119.08
2.26,6.4,1.68,1,Clear,Mon,12,Bike,52.27
12.69,52.5,2.95,9,Clear,Tue,5,Bike,207.54
5.49,22.9,2.09,6,Clear,Fri,11,Auto,116.14
3.61,12.7,0.82,9,Clear,Fri,7,Bike,84.26
1.57,3.9,2.19,7,Rainy,Mon,4,Auto,60.1
9.27,28.5,1.31,1,Clear,Wed,14,Car,230.96
10.49,39.2,2.22,1,Stormy,Sat,15,Bike,208.16
1.23,5.5,0.67,6,Clear,Tue,0,Car,78.17
8.17,30.7,0.94,5,Clear,Fri,15,Bike,110.88
4.17,12.6,2.64,9,Clear,Wed,4,Bike,77.4
10.03,37.8,1.07,2,Clear,Sun,2,Bike,126.19
3.44,12.3,2.59,8,Clear,Sat,19,Bike,73.13
10.67,43.3,1.2,5,Clear,Sun,14,Bike,134.69
6.41,17.4,2.11,2,Rainy,Sat,12,Bike,99.08
14.11,56.8,2.24,6,Rainy,Tue,23,Auto,281.28
2.93,10.5,1.78,8,Clear,Thu,15,Car,111.97
5.77,25.5,1.26,4,Rainy,Sat,22,Auto,141.35
2.59,8.2,1.03,2,Clear,Thu,10,Bike,49.61
13.95,52.5,0.58,5,Rainy,Sun,20,Auto,225.74
13.28,58.0,1.26,2,Clear,Sat,1,Auto,228.0
4.61,12.5,2.13,2,Clear,Tue,21,Car,148.78
10.24,44.8,2.85,6,Rainy,Mon,5,Car,337.8
12.44,48.2,2.68,9,Clear,Tue,5,Car,408.57
8.77,23.1,2.42,4,Rainy,Tue,13,Bike,114.19
8.42,26.1,2.47,6,Clear,Mon,10,Auto,178.42
4.39,17.2,2.16,7,Clear,Mon,7,Bike,76.13
2.3,6.1,1.15,6,Clear,Wed,7,Car,71.7
13.56,49.7,2.77,8,Clear,Sat,0,Bike,253.92
13.61,43.4,2.18,4,Clear,Sun,20,Bike,166.52
9.86,36.9,1.9,1,Rainy,Wed,6,Bike,145.91
5.75,14.9,0.78,7,Clear,Mon,5,Auto,90.66
5.89,25.0,1.62,3,Rainy,Thu,20,Bike,91.21
11.16,49.6,1.65,6,Rainy,Sun,7,Bike,174.07
13.56,60.2,2.66,2,Clear,Thu,18,Car,382.73
13.42,53.7,1.87,9,Rainy,Tue,21,Car,464.52
11.92,32.9,1.45,1,Stormy,Fri,20,Bike,166.69
9.99,40.1,2.94,6,Rainy,Tue,23,Bike,164.04
2.18,5.6,0.78,6,Rainy,Tue,19,Car,93.15
3.26,8.3,1.56,5,Stormy,Fri,7,Car,133.92
13.58,42.7,0.61,5,Clear,Sat,13,Auto,189.16
9.49,33.0,2.35,1,Clear,Mon,17,Auto,161.83
1.13,4.6,2.8,5,Rainy,Thu,15,Bike,62.88
2.42,9.4,1.2,2,Clear,Tue,8,Car,98.75
10.29,34.9,2.65,7,Clear,Fri,14,Auto,176.39
1.07,3.3,1.23,3,Clear,Wed,9,Auto,42.18
3.25,14.6,2.78,4,Rainy,Tue,21,Bike,62.35
8.68,29.1,2.38,3,Clear,Thu,15,Car,260.76
10.69,36.4,2.51,3,Rainy,Mon,3,Auto,212.38
10.13,28.6,0.55,4,Clear,Tue,19,Bike,100.17
4.14,16.9,2.91,5,Clear,Tue,12,Auto,107.8
10.97,42.6,2.32,1,Clear,Sat,21,Auto,198.74
4.32,12.7,1.26,4,Clear,Fri,4,Auto,68.69
5.56,14.8,2.57,8,Clear,Wed,21,Auto,126.83
11.45,44.2,1.2,7,Rainy,Wed,6,Auto,210.27
10.09,38.4,2.68,9,Rainy,Sun,22,Car,385.54
12.89,39.3,0.78,5,Clear,Mon,8,Bike,141.97
10.21,44.9,2.26,4,Clear,Sun,7,Bike,153.24
8.96,25.1,1.85,8,Rainy,Thu,15,Bike,144.18
2.31,7.8,0.74,9,Rainy,Mon,5,Auto,85.18
6.15,27.0,1.1,7,Clear,Tue,15,Auto,114.15
4.71,15.7,0.53,7,Clear,Tue,5,Car,132.59
4.42,16.7,1.67,5,Clear,Wed,13,Auto,98.49
14.62,48.2,1.25,4,Rainy,Thu,20,Auto,246.17
6.5,19.8,2.0,1,Clear,Fri,0,Car,178.59
13.49,60.3,1.24,7,Clear,Thu,8,Bike,178.67
9.84,32.7,1.25,1,Clear,Tue,23,Car,241.54
12.13,52.0,2.36,1,Rainy,Fri,12,Bike,213.51
8.04,23.8,0.62,5,Clear,Thu,18,Auto,116.48
9.08,26.6,2.76,9,Clear,Thu,16,Auto,177.94
7.9,20.2,2.63,6,Clear,Fri,10,Auto,138.49
3.73,14.2,2.17,3,Clear,Tue,7,Bike,65.61
11.11,36.0,1.98,3,Clear,Thu,22,Bike,144.55
4.93,20.8,2.73,7,Rainy,Fri,4,Auto,120.46
1.34,4.6,0.96,6,Rainy,Sat,9,Car,74.64
10.04,44.5,0.7,9,Rainy,Sat,6,Bike,165.28
3.48,10.0,1.1,6,Rainy,Tue,9,Car,126.56
14.17,60.0,2.49,5,Clear,Fri,3,Bike,204.33
14.36,58.2,0.59,7,Rainy,Sat,8,Auto,242.39
13.81,55.8,1.96,1,Clear,Fri,13,Auto,247.12
6.18,25.9,2.99,7,Clear,Thu,1,Auto,146.09
1.22,4.9,2.64,3,Stormy,Tue,8,Car,90.64
14.0,52.5,1.8,9,Clear,Sat,20,Auto,257.11
6.99,19.3,0.66,6,Clear,Sun,0,Auto,123.82
14.53,37.3,2.58,9,Clear,Thu,22,Bike,209.38
14.49,62.9,2.0,5,Clear,Sun,9,Bike,198.47
12.94,48.3,0.79,7,Clear,Sun,9,Bike,152.53
5.12,21.0,0.73,4,Rainy,Mon,19,Auto,101.71
6.39,22.1,2.77,7,Stormy,Mon,21,Bike,131.96
12.92,35.3,2.17,1,Clear,Tue,2,Bike,146.53
5.44,15.0,2.57,7,Clear,Sat,5,Bike,90.13
3.37,13.0,2.7,8,Clear,Sat,5,Bike,76.86
8.8,29.6,1.93,5,Rainy,Sat,20,Bike,132.35
14.11,40.9,1.79,2,Clear,Fri,1,Car,322.83
10.74,37.4,1.58,5,Clear,Thu,17,Auto,183.11
8.98,23.6,1.29,6,Clear,Sat,22,Auto,128.0
2.36,8.6,1.59,2,Clear,Thu,1,Auto,54.31
9.61,29.2,2.43,6,Clear,Tue,11,Bike,129.69
14.86,60.9,2.0,6,Rainy,Sun,21,Car,466.09
2.96,9.2,2.73,1,Clear,Sat,4,Bike,58.96
8.26,28.2,1.61,1,Clear,Tue,19,Bike,84.02
13.28,33.5,2.02,3,Clear,Sat,6,Auto,193.97
11.37,30.1,2.08,3,Rainy,Mon,23,Bike,158.38
10.76,35.3,1.98,4,Clear,Wed,15,Auto,169.88
10.83,37.5,2.26,2,Clear,Tue,19,Bike,154.67
6.03,22.3,1.09,9,Clear,Sat,0,Auto,126.7
5.11,15.8,1.78,7,Clear,Wed,0,Bike,84.96
12.33,48.0,0.76,7,Rainy,Tue,16,Bike,157.15
12.34,52.1,1.46,6,Clear,Fri,0,Auto,206.52
13.14,53.3,1.72,3,Stormy,Sat,20,Bike,232.53
13.79,35.6,2.13,6,Clear,Fri,19,Bike,161.82
8.16,28.2,2.88,8,Rainy,Mon,12,Bike,153.81
8.02,21.7,2.0,8,Clear,Sat,8,Auto,170.54
12.18,36.3,2.36,9,Rainy,Sun,14,Auto,261.31
10.1,45.2,1.77,1,Clear,Mon,2,Bike,125.32
10.83,30.2,2.09,1,Clear,Wed,13,Car,276.86
12.14,42.5,0.68,3,Rainy,Tue,22,Car,313.31
13.46,50.3,1.14,3,Clear,Thu,10,Auto,224.24
5.73,22.4,1.4,8,Clear,Mon,23,Auto,116.95
6.26,22.7,1.68,1,Clear,Thu,21,Bike,93.81
2.32,5.8,0.61,2,Clear,Thu,11,Auto,52.19
9.1,28.7,0.85,2,Clear,Tue,12,Bike,97.83
1.5,5.3,1.19,3,Clear,Wed,12,Bike,45.5
7.52,20.1,2.93,6,Clear,Tue,0,Car,210.51
8.6,27.5,1.33,1,Rainy,Sat,23,Auto,166.04
5.01,12.9,1.71,2,Clear,Mon,9,Bike,62.76
9.27,24.6,0.99,1,Rainy,Thu,2,Bike,100.93
1.43,4.7,2.03,5,Stormy,Tue,23,Auto,61.36
1.52,4.2,1.2,7,Clear,Tue,3,Bike,37.16
12.52,45.5,1.02,8,Clear,Tue,15,Bike,167.18
6.04,23.4,1.79,1,Clear,Mon,7,Bike,60.34
2.78,11.4,0.51,7,Clear,Wed,15,Bike,51.73
8.31,24.1,0.52,5,Rainy,Sun,16,Auto,138.26
11.78,33.4,1.05,1,Clear,Tue,18,Bike,138.29
4.02,10.9,0.59,3,Clear,Mon,21,Auto,67.51
9.72,36.7,0.77,7,Clear,Thu,14,Bike,115.2
2.19,8.6,1.35,1,Clear,Sat,15,Auto,72.88
1.72,4.4,2.51,7,Clear,Sun,14,Car,66.2
8.44,36.9,1.93,5,Clear,Fri,1,Auto,160.82
8.57,22.3,1.78,1,Stormy,Sun,10,Car,276.6
9.92,35.5,1.23,1,Clear,Sun,0,Car,255.92
11.17,43.8,2.83,1,Clear,Mon,14,Bike,166.82
14.66,62.2,1.49,9,Rainy,Fri,18,Auto,305.78
8.23,32.3,0.72,3,Clear,Tue,3,Car,221.9
5.52,22.7,2.04,5,Rainy,Tue,10,Bike,97.61
12.13,38.6,0.78,9,Stormy,Sun,4,Bike,186.7
4.79,19.8,1.36,6,Rainy,Mon,2,Car,167.33
7.15,19.0,1.77,9,Rainy,Fri,12,Auto,156.54
2.1,9.0,2.69,8,Clear,Tue,9,Bike,77.95
1.35,4.9,1.73,8,Rainy,Thu,10,Bike,50.21
14.48,59.9,2.26,1,Clear,Wed,17,Auto,246.85
12.7,43.2,2.98,9,Rainy,Wed,1,Auto,277.19
10.74,40.7,0.83,6,Rainy,Tue,6,Auto,199.94
6.73,23.9,1.19,9,Stormy,Fri,8,Auto,168.35
3.43,13.6,1.49,3,Rainy,Sat,9,Auto,69.86
3.19,8.5,1.55,3,Clear,Tue,17,Auto,77.67
4.5,11.8,1.53,6,Stormy,Sat,22,Auto,104.08
8.69,26.0,2.77,9,Clear,Sat,6,Auto,191.31
11.0,31.0,2.29,7,Rainy,Fri,6,Auto,189.76
10.24,43.5,2.02,3,Clear,Sat,2,Bike,162.01
4.92,14.5,1.27,3,Clear,Thu,11,Bike,77.45
14.37,64.0,2.56,2,Clear,Fri,6,Car,415.92
11.33,36.0,2.89,9,Clear,Tue,16,Bike,162.77
8.76,25.1,2.55,3,Rainy,Sun,0,Bike,153.51
9.56,39.0,0.5,5,Clear,Thu,4,Bike,115.85
6.87,26.2,2.09,9,Clear,Mon,15,Car,228.72
4.47,15.6,0.63,8,Clear,Wed,14,Bike,86.45
5.98,21.6,1.14,2,Rainy,Tue,1,Bike,100.7
11.61,45.7,0.65,3,Clear,Tue,8,Bike,151.27
1.2,3.5,2.01,2,Clear,Tue,6,Auto,43.96
2.63,11.8,2.22,8,Clear,Thu,3,Bike,83.25
1.64,7.3,0.79,6,Clear,Mon,19,Bike,24.68
1.57,6.0,1.46,6,Clear,Sun,17,Bike,32.78
12.98,37.6,1.64,9,Clear,Fri,20,Car,353.85
10.85,41.9,1.42,8,Clear,Mon,3,Bike,173.91
7.64,20.2,0.8,4,Rainy,Thu,12,Bike,103.72
2.37,6.1,1.55,4,Rainy,Tue,0,Auto,61.84
7.88,23.8,2.38,9,Clear,Wed,23,Car,246.1
7.63,26.1,0.68,1,Stormy,Tue,2,Auto,170.58
3.42,14.5,0.7,2,Clear,Fri,15,Car,120.01
7.07,28.0,1.39,2,Clear,Sat,21,Car,190.78
6.58,26.2,2.85,6,Clear,Wed,3,Bike,98.7
9.62,32.2,2.17,4,Clear,Tue,22,Auto,163.51
9.89,31.6,2.2,3,Clear,Sun,15,Bike,124.59
1.63,5.3,1.4,3,Clear,Wed,18,Auto,59.16
6.24,27.9,1.98,3,Clear,Sat,0,Bike,104.19
9.76,25.2,0.53,6,Rainy,Mon,4,Bike,119.63
8.04,34.0,2.09,8,Clear,Thu,18,Car,280.05
12.99,47.5,2.78,7,Clear,Tue,21,Bike,184.91
10.22,34.5,2.03,4,Clear,Fri,23,Car,254.9
3.28,13.0,2.68,4,Clear,Mon,10,Bike,72.51
1.99,6.9,2.31,2,Clear,Tue,12,Bike,39.85
9.99,42.4,0.8,1,Clear,Mon,19,Car,256.08
1.37,5.9,2.76,9,Rainy,Fri,4,Auto,63.54
9.2,30.8,0.67,2,Clear,Tue,20,Auto,142.46
14.16,43.2,1.83,8,Clear,Sat,3,Bike,201.02
9.06,33.4,0.86,9,Clear,Sat,3,Auto,158.6
6.43,27.8,0.53,4,Clear,Fri,3,Auto,116.43
10.01,29.2,1.56,8,Clear,Wed,3,Auto,177.22
7.42,27.8,1.24,9,Clear,Fri,19,Bike,128.48
8.64,32.5,1.72,5,Clear,Wed,20,Car,226.49
14.18,56.2,1.94,7,Clear,Tue,17,Auto,235.33
6.41,17.7,0.61,4,Clear,Wed,17,Car,149.59
14.46,56.9,0.81,1,Clear,Tue,15,Auto,213.97
13.67,59.0,1.9,3,Clear,Tue,8,Auto,242.64
3.74,10.7,1.36,5,Clear,Sun,17,Bike,51.99
1.97,5.9,2.32,3,Clear,Thu,21,Bike,44.92
2.41,10.7,2.13,7,Clear,Tue,1,Car,115.37
1.26,3.6,2.61,9,Clear,Wed,20,Bike,43.28
2.32,9.8,2.23,6,Clear,Thu,3,Bike,52.92
10.56,36.8,1.57,1,Clear,Thu,11,Bike,124.22
2.0,6.0,2.18,7,Clear,Tue,6,Bike,42.49
5.47,23.2,1.19,3,Rainy,Fri,14,Car,176.61
12.83,43.5,1.27,5,Clear,Fri,6,Car,313.23
1.33,4.7,2.47,4,Rainy,Sat,21,Bike,34.77
12.4,39.9,1.62,5,Clear,Thu,20,Bike,142.49
4.95,18.2,2.5,5,Clear,Tue,16,Auto,110.13
2.65,7.5,2.56,6,Clear,Sun,15,Auto,87.28
10.75,35.3,2.64,6,Clear,Fri,18,Car,293.57
9.81,43.5,2.79,8,Clear,Sun,8,Auto,232.69
13.28,40.1,1.58,8,Clear,Tue,13,Bike,189.31
11.29,43.1,1.3,9,Clear,Tue,16,Auto,219.85
12.25,38.6,1.96,8,Clear,Thu,4,Car,357.62
4.95,20.0,1.43,2,Rainy,Sun,1,Auto,108.97
3.48,9.6,2.0,1,Rainy,Sat,19,Auto,81.67
11.51,51.1,2.26,2,Clear,Thu,15,Bike,161.78
12.3,41.9,2.22,2,Clear,Mon,13,Auto,215.02
14.87,44.2,1.44,3,Clear,Sun,13,Auto,224.85
6.78,17.9,0.92,7,Clear,Fri,0,Bike,88.67
6.21,17.6,1.58,2,Clear,Fri,2,Bike,78.04
11.87,42.0,0.86,1,Stormy,Fri,6,Bike,189.83
5.77,18.3,2.73,6,Clear,Wed,14,Bike,101.16
14.03,58.3,1.36,9,Clear,Tue,18,Bike,195.33
13.02,43.8,0.89,3,Clear,Thu,19,Bike,146.05
7.01,21.0,0.56,6,Rainy,Fri,1,Auto,131.04
11.51,43.0,2.11,3,Clear,Mon,18,Bike,149.78
11.56,45.2,2.09,1,Clear,Fri,8,Bike,164.54
2.44,6.9,1.35,5,Stormy,Sat,18,Car,115.58
13.64,38.7,0.68,4,Clear,Tue,4,Auto,189.9
8.07,20.8,1.52,7,Rainy,Sun,17,Auto,140.87
12.57,49.9,1.28,6,Clear,Tue,15,Bike,167.11
5.48,21.0,2.19,7,Rainy,Sun,3,Auto,114.73
13.54,46.7,2.01,5,Clear,Sun,11,Bike,164.03
6.45,27.0,1.41,4,Clear,Thu,6,Car,204.32
1.15,4.7,1.04,7,Rainy,Wed,13,Bike,56.94
13.68,50.2,2.97,7,Clear,Sun,22,Auto,252.53
2.28,9.7,1.64,6,Clear,Sun,11,Bike,65.37
5.47,15.9,2.22,8,Clear,Thu,2,Auto,112.89
14.3,39.0,0.85,4,Clear,Fri,4,Auto,190.09
14.31,43.5,1.71,5,Clear,Sat,16,Bike,183.86
9.03,23.6,0.57,4,Clear,Mon,9,Bike,106.13
9.85,35.1,1.76,1,Clear,Thu,9,Auto,185.63
7.28,31.8,2.91,8,Clear,Wed,10,Car,283.66
5.1,13.2,1.46,1,Clear,Thu,16,Car,128.87
5.6,15.4,0.6,5,Clear,Tue,4,Bike,71.43
10.42,35.5,0.58,6,Rainy,Fri,12,Bike,143.87
11.53,50.4,1.47,6,Rainy,Fri,9,Car,343.4
12.08,37.8,0.9,5,Rainy,Sun,8,Auto,192.28
12.05,42.3,0.56,3,Clear,Fri,16,Auto,182.63
2.28,5.9,2.39,5,Clear,Fri,0,Car,87.26
7.92,22.1,1.65,8,Clear,Fri,3,Car,233.31
1.81,8.1,1.22,2,Clear,Fri,3,Auto,54.55
8.69,38.5,2.75,6,Clear,Mon,17,Bike,134.15
7.18,18.0,0.79,9,Clear,Wed,8,Bike,105.14
13.43,59.1,2.89,8,Clear,Sun,17,Auto,311.31
5.91,22.3,1.28,8,Rainy,Fri,13,Bike,103.38
2.64,11.2,2.72,8,Clear,Sun,14,Bike,66.27
3.0,10.2,2.01,7,Clear,Wed,5,Bike,52.6
11.66,41.2,2.57,8,Clear,Sat,23,Bike,179.09
9.66,33.6,2.96,6,Clear,Fri,9,Auto,166.92
